Status,Condition,Rooms,Bedrooms,Bathrooms,Floor,Floors,Balcony,Veranda,Loggia,Heating,Parking,Storeroom,Hot,Gas,Internet,Fireplace,Furniture,Passenger,Service,Telephone,Television,Conditioner,PerSq
old,newRenov,7,4,2,5,6,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,682
old,oldRenov,7,3,2,4,5,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1137
old,oldRenov,7,4,2,9,16,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,744
old,newRenov,6,4,2,8,9,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,531
old,oldRenov,6,1,2,2,4,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1250
old,white,6,5,2,1,5,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,895
old,oldRenov,6,3,1,4,4,8,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,688
old,oldRenov,6,3,2,4,4,40,0,25,1,1,1,1,1,1,1,0,0,0,1,0,0,550
old,oldRenov,6,2,2,6,8,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1,682
old,oldRenov,5,0,3,6,7,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,432
old,newRenov,5,2,1,9,9,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,873
old,oldRenov,5,3,2,4,4,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,510
old,newRenov,5,3,2,8,8,12,24,0,1,1,1,1,1,1,1,1,1,0,1,1,1,942
old,oldRenov,5,3,2,2,5,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,785
old,newRenov,5,4,1,8,9,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,771
old,oldRenov,5,4,2,2,10,30,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,950
old,newRenov,5,3,1,5,10,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,636
old,oldRenov,5,4,2,9,9,9,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,876
old,oldRenov,5,4,1,1,8,0,0,25,1,1,1,1,1,1,0,0,0,0,1,0,0,578
old,newRenov,5,3,2,8,8,11,32,16,1,1,1,1,1,1,0,0,1,0,1,1,1,655
old,newRenov,5,3,1,16,16,5,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,580
old,oldRenov,5,3,1,16,17,4,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,585
old,oldRenov,5,3,2,3,5,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,733
old,oldRenov,5,3,1,1,5,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0,769
old,newRenov,5,2,2,5,6,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,921
old,oldRenov,5,2,1,7,10,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1016
old,newRenov,5,4,2,1,8,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,792
old,oldRenov,5,3,2,6,8,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,672
old,oldRenov,5,3,2,6,9,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,849
old,oldRenov,5,2,3,4,9,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,650
old,oldRenov,5,0,1,3,4,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,655
old,oldRenov,5,3,1,8,8,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,770
old,newRenov,5,3,1,7,8,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,867
old,newRenov,4,3,2,14,15,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1135
old,oldRenov,4,3,2,5,7,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,667
old,newRenov,4,3,1,9,9,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,500
